description,founded,franchising_since,industry,initial_investment,name,parent_company,ranking,ranking_last_year,units
Fitness centers,2010,2010,Health & Wellness,$399K - $7M,Crunch,"Ben Midgley, CEO",#39,Ranked #43 last year,"[{""year"":""2013"",""us"":""35"",""fgn"":5,""com"":""2"",""total"":42},{""year"":""2014"",""us"":""63"",""fgn"":9,""com"":""8"",""total"":80},{""year"":""2015"",""us"":""91"",""fgn"":9,""com"":""10"",""total"":110},{""year"":""2016"",""us"":""105"",""fgn"":10,""com"":""10"",""total"":125},{""year"":""2017"",""us"":""141"",""fgn"":26,""com"":""17"",""total"":184},{""year"":""2018"",""us"":""173"",""fgn"":40,""com"":""26"",""total"":239},{""year"":""2019"",""us"":""208"",""fgn"":47,""com"":""25"",""total"":280},{""year"":""2020"",""us"":""229"",""fgn"":45,""com"":""26"",""total"":300},{""year"":""2021"",""us"":""260"",""fgn"":66,""com"":""26"",""total"":352},{""year"":""2022"",""us"":""287"",""fgn"":73,""com"":""48"",""total"":408}]"
Eye care and eyewear,1961,1980,Health & Wellness,$70K - $979K,Pearle Vision,EssilorLuxottica,#38,Ranked #45 last year,"[{""year"":""2013"",""us"":""352"",""fgn"":14,""com"":""238"",""total"":604},{""year"":""2014"",""us"":""367"",""fgn"":16,""com"":""198"",""total"":581},{""year"":""2015"",""us"":""374"",""fgn"":15,""com"":""163"",""total"":552},{""year"":""2016"",""us"":""405"",""fgn"":16,""com"":""110"",""total"":531},{""year"":""2017"",""us"":""405"",""fgn"":16,""com"":""102"",""total"":523},{""year"":""2018"",""us"":""399"",""fgn"":17,""com"":""114"",""total"":530},{""year"":""2019"",""us"":""402"",""fgn"":16,""com"":""107"",""total"":525},{""year"":""2020"",""us"":""427"",""fgn"":17,""com"":""108"",""total"":552},{""year"":""2021"",""us"":""440"",""fgn"":17,""com"":""105"",""total"":562},{""year"":""2022"",""us"":""444"",""fgn"":16,""com"":""111"",""total"":571}]"
Pizza,1985,1986,Food,$200K - $789K,Papa Johns,Papa John's Inc.,#37,Ranked #77 last year,"[{""year"":""2013"",""us"":""2517"",""fgn"":1034,""com"":""706"",""total"":4257},{""year"":""2014"",""us"":""2529"",""fgn"":1227,""com"":""731"",""total"":4487},{""year"":""2015"",""us"":""2554"",""fgn"":1439,""com"":""740"",""total"":4733},{""year"":""2016"",""us"":""2588"",""fgn"":1620,""com"":""734"",""total"":4942},{""year"":""2017"",""us"":""2731"",""fgn"":1679,""com"":""645"",""total"":5055},{""year"":""2018"",""us"":""2596"",""fgn"":1973,""com"":""678"",""total"":5247},{""year"":""2019"",""us"":""2535"",""fgn"":2167,""com"":""643"",""total"":5345},{""year"":""2020"",""us"":""2536"",""fgn"":2213,""com"":""598"",""total"":5347},{""year"":""2021"",""us"":""2546"",""fgn"":2266,""com"":""588"",""total"":5400},{""year"":""2022"",""us"":""2649"",""fgn"":2590,""com"":""520"",""total"":5759}]"
Commercial cleaning,1989,1991,Maintenance,$11K - $68K,Anago Cleaning Systems,Anago Cleaning Systems,#36,Ranked #34 last year,"[{""year"":""2013"",""us"":""1217"",""fgn"":7,""com"":""0"",""total"":1224},{""year"":""2014"",""us"":""1257"",""fgn"":13,""com"":""0"",""total"":1270},{""year"":""2015"",""us"":""1310"",""fgn"":16,""com"":""0"",""total"":1326},{""year"":""2016"",""us"":""1427"",""fgn"":31,""com"":""0"",""total"":1458},{""year"":""2017"",""us"":""1451"",""fgn"":52,""com"":""0"",""total"":1503},{""year"":""2018"",""us"":""1458"",""fgn"":56,""com"":""0"",""total"":1514},{""year"":""2019"",""us"":""1556"",""fgn"":70,""com"":""0"",""total"":1626},{""year"":""2020"",""us"":""1639"",""fgn"":72,""com"":""0"",""total"":1711},{""year"":""2021"",""us"":""1646"",""fgn"":73,""com"":""0"",""total"":1719},{""year"":""2022"",""us"":""1708"",""fgn"":83,""com"":""0"",""total"":1791}]"
Environmentally friendly commercial cleaning and disinfecting,2004,2006,Maintenance,$4K - $80K,Stratus Building Solutions,"Rob Lancit, VP Franchise Development",#35,Ranked #32 last year,"[{""year"":""2015"",""us"":""1155"",""fgn"":0,""com"":""0"",""total"":1155},{""year"":""2016"",""us"":""1234"",""fgn"":0,""com"":""0"",""total"":1234},{""year"":""2017"",""us"":""1325"",""fgn"":0,""com"":""0"",""total"":1325},{""year"":""2018"",""us"":""1545"",""fgn"":4,""com"":""0"",""total"":1549},{""year"":""2019"",""us"":""1737"",""fgn"":50,""com"":""0"",""total"":1787},{""year"":""2020"",""us"":""1921"",""fgn"":109,""com"":""0"",""total"":2030},{""year"":""2021"",""us"":""2247"",""fgn"":171,""com"":""0"",""total"":2418},{""year"":""2022"",""us"":""2585"",""fgn"":315,""com"":""0"",""total"":2900}]"
Commercial cleaning,1991,1992,Maintenance,$5K - $58K,Jan-Pro Cleaning and Disinfecting,Lynx Franchising,#34,Ranked #30 last year,"[{""year"":""2013"",""us"":""6336"",""fgn"":847,""com"":""0"",""total"":7183},{""year"":""2014"",""us"":""6700"",""fgn"":903,""com"":""0"",""total"":7603},{""year"":""2015"",""us"":""6715"",""fgn"":1134,""com"":""0"",""total"":7849},{""year"":""2016"",""us"":""6975"",""fgn"":1249,""com"":""0"",""total"":8224},{""year"":""2017"",""us"":""7105"",""fgn"":1381,""com"":""0"",""total"":8486},{""year"":""2018"",""us"":""7409"",""fgn"":1381,""com"":""0"",""total"":8790},{""year"":""2019"",""us"":""7630"",""fgn"":1525,""com"":""0"",""total"":9155},{""year"":""2020"",""us"":""8258"",""fgn"":1860,""com"":""0"",""total"":10118},{""year"":""2021"",""us"":""8394"",""fgn"":2082,""com"":""0"",""total"":10476},{""year"":""2022"",""us"":""8370"",""fgn"":2048,""com"":""0"",""total"":10418}]"
Upscale hotels,1990,1990,Lodging,$20.2M - $31.1M,Hilton Garden Inn,Hilton,#33,Ranked #61 last year,"[{""year"":""2013"",""us"":""519"",""fgn"":60,""com"":""2"",""total"":581},{""year"":""2014"",""us"":""530"",""fgn"":66,""com"":""2"",""total"":598},{""year"":""2015"",""us"":""560"",""fgn"":77,""com"":""2"",""total"":639},{""year"":""2016"",""us"":""590"",""fgn"":101,""com"":""2"",""total"":693},{""year"":""2017"",""us"":""618"",""fgn"":123,""com"":""0"",""total"":741},{""year"":""2018"",""us"":""646"",""fgn"":142,""com"":""0"",""total"":788},{""year"":""2019"",""us"":""675"",""fgn"":166,""com"":""0"",""total"":841},{""year"":""2020"",""us"":""686"",""fgn"":175,""com"":""0"",""total"":861},{""year"":""2021"",""us"":""724"",""fgn"":199,""com"":""0"",""total"":923},{""year"":""2022"",""us"":""739"",""fgn"":214,""com"":""0"",""total"":953}]"
"Body waxing services, skin and beauty products",2004,2006,Personal-Care Businesses,$350K - $554K,European Wax Center,"David Berg, CEO",#32,Ranked #48 last year,"[{""year"":""2016"",""us"":""571"",""fgn"":0,""com"":""21"",""total"":592},{""year"":""2017"",""us"":""628"",""fgn"":0,""com"":""16"",""total"":644},{""year"":""2018"",""us"":""697"",""fgn"":0,""com"":""13"",""total"":710},{""year"":""2019"",""us"":""725"",""fgn"":0,""com"":""5"",""total"":730},{""year"":""2020"",""us"":""770"",""fgn"":0,""com"":""5"",""total"":775},{""year"":""2021"",""us"":""803"",""fgn"":0,""com"":""5"",""total"":808},{""year"":""2022"",""us"":""888"",""fgn"":0,""com"":""5"",""total"":893}]"
Mechanics' tools and equipment,1979,1993,Retail,$77K - $309K,Matco Tools,Vontier,#31,Ranked #29 last year,"[{""year"":""2013"",""us"":""1387"",""fgn"":56,""com"":""6"",""total"":1449},{""year"":""2014"",""us"":""1483"",""fgn"":60,""com"":""1"",""total"":1544},{""year"":""2015"",""us"":""1578"",""fgn"":72,""com"":""1"",""total"":1651},{""year"":""2016"",""us"":""1600"",""fgn"":70,""com"":""1"",""total"":1671},{""year"":""2017"",""us"":""1680"",""fgn"":75,""com"":""2"",""total"":1757},{""year"":""2018"",""us"":""1721"",""fgn"":70,""com"":""2"",""total"":1793},{""year"":""2019"",""us"":""1744"",""fgn"":64,""com"":""2"",""total"":1810},{""year"":""2020"",""us"":""1739"",""fgn"":69,""com"":""1"",""total"":1809},{""year"":""2021"",""us"":""1820"",""fgn"":74,""com"":""1"",""total"":1895},{""year"":""2022"",""us"":""1835"",""fgn"":80,""com"":""4"",""total"":1919}]"
Men's sports-themed hair salons,1993,1995,Personal-Care Businesses,$266K - $440K,Sport Clips Haircuts,Sport Clips Inc.,#30,Ranked #24 last year,"[{""year"":""2013"",""us"":""1044"",""fgn"":11,""com"":""28"",""total"":1083},{""year"":""2014"",""us"":""1252"",""fgn"":17,""com"":""31"",""total"":1300},{""year"":""2015"",""us"":""1350"",""fgn"":23,""com"":""32"",""total"":1405},{""year"":""2016"",""us"":""1500"",""fgn"":28,""com"":""32"",""total"":1560},{""year"":""2017"",""us"":""1600"",""fgn"":38,""com"":""54"",""total"":1692},{""year"":""2018"",""us"":""1669"",""fgn"":38,""com"":""69"",""total"":1776},{""year"":""2019"",""us"":""1730"",""fgn"":39,""com"":""69"",""total"":1838},{""year"":""2020"",""us"":""1770"",""fgn"":39,""com"":""70"",""total"":1879},{""year"":""2021"",""us"":""1777"",""fgn"":41,""com"":""71"",""total"":1889},{""year"":""2022"",""us"":""1779"",""fgn"":42,""com"":""74"",""total"":1895}]"
Fitness studios,2011,2013,Health & Wellness,$350K - $565K,F45 Training,F45 Training,#29,Ranked #42 last year,"[{""year"":""2014"",""us"":""0"",""fgn"":36,""com"":""0"",""total"":36},{""year"":""2015"",""us"":""5"",""fgn"":120,""com"":""0"",""total"":125},{""year"":""2016"",""us"":""21"",""fgn"":293,""com"":""0"",""total"":314},{""year"":""2017"",""us"":""63"",""fgn"":506,""com"":""2"",""total"":571},{""year"":""2018"",""us"":""150"",""fgn"":643,""com"":""5"",""total"":798},{""year"":""2019"",""us"":""267"",""fgn"":778,""com"":""7"",""total"":1052},{""year"":""2020"",""us"":""402"",""fgn"":896,""com"":""3"",""total"":1301},{""year"":""2021"",""us"":""553"",""fgn"":999,""com"":""3"",""total"":1555},{""year"":""2022"",""us"":""643"",""fgn"":1106,""com"":""0"",""total"":1749}]"
Fitness clubs,1992,2003,Health & Wellness,$1.6M - $4.9M,Planet Fitness,"Chris Rondeau, CEO",#28,Ranked #7 last year,"[{""year"":""2013"",""us"":""704"",""fgn"":0,""com"":""45"",""total"":749},{""year"":""2014"",""us"":""863"",""fgn"":0,""com"":""55"",""total"":918},{""year"":""2015"",""us"":""956"",""fgn"":0,""com"":""58"",""total"":1014},{""year"":""2016"",""us"":""1059"",""fgn"":7,""com"":""58"",""total"":1124},{""year"":""2017"",""us"":""1335"",""fgn"":18,""com"":""58"",""total"":1411},{""year"":""2018"",""us"":""1506"",""fgn"":34,""com"":""68"",""total"":1608},{""year"":""2019"",""us"":""1740"",""fgn"":39,""com"":""80"",""total"":1859},{""year"":""2020"",""us"":""1904"",""fgn"":56,""com"":""99"",""total"":2059},{""year"":""2021"",""us"":""2006"",""fgn"":62,""com"":""106"",""total"":2174},{""year"":""2022"",""us"":""2010"",""fgn"":81,""com"":""233"",""total"":2324}]"
Upper midscale extended-stay hotels,2008,2009,Lodging,$13.8M - $20.6M,Home2 Suites by Hilton,Hilton,#27,Ranked #49 last year,"[{""year"":""2013"",""us"":""26"",""fgn"":1,""com"":""0"",""total"":27},{""year"":""2014"",""us"":""33"",""fgn"":1,""com"":""0"",""total"":34},{""year"":""2015"",""us"":""55"",""fgn"":2,""com"":""0"",""total"":57},{""year"":""2016"",""us"":""90"",""fgn"":3,""com"":""0"",""total"":93},{""year"":""2017"",""us"":""158"",""fgn"":3,""com"":""0"",""total"":161},{""year"":""2018"",""us"":""234"",""fgn"":3,""com"":""0"",""total"":237},{""year"":""2019"",""us"":""325"",""fgn"":7,""com"":""0"",""total"":332},{""year"":""2020"",""us"":""404"",""fgn"":7,""com"":""0"",""total"":411},{""year"":""2021"",""us"":""487"",""fgn"":7,""com"":""0"",""total"":494},{""year"":""2022"",""us"":""532"",""fgn"":19,""com"":""0"",""total"":551}]"
Residential cleaning,1979,1981,Maintenance,$58K - $156K,The Maids,The Maids Int'l. Inc.,#26,Ranked #22 last year,"[{""year"":""2013"",""us"":""1053"",""fgn"":32,""com"":""33"",""total"":1118},{""year"":""2014"",""us"":""1083"",""fgn"":32,""com"":""35"",""total"":1150},{""year"":""2015"",""us"":""1105"",""fgn"":32,""com"":""60"",""total"":1197},{""year"":""2016"",""us"":""1158"",""fgn"":31,""com"":""63"",""total"":1252},{""year"":""2017"",""us"":""1185"",""fgn"":51,""com"":""111"",""total"":1347},{""year"":""2018"",""us"":""1191"",""fgn"":52,""com"":""144"",""total"":1387},{""year"":""2019"",""us"":""1225"",""fgn"":53,""com"":""174"",""total"":1452},{""year"":""2020"",""us"":""1246"",""fgn"":53,""com"":""174"",""total"":1473},{""year"":""2021"",""us"":""1308"",""fgn"":56,""com"":""174"",""total"":1538},{""year"":""2022"",""us"":""1373"",""fgn"":56,""com"":""160"",""total"":1589}]"
Louisiana-themed sports restaurants,2003,2015,Food,$1.3M - $5M,Walk-On's Sports Bistreaux,Walk-On's Enterprises,#100,Ranked #87 last year,"[{""year"":""2014"",""us"":""0"",""fgn"":0,""com"":""4"",""total"":4},{""year"":""2015"",""us"":""2"",""fgn"":0,""com"":""5"",""total"":7},{""year"":""2016"",""us"":""6"",""fgn"":0,""com"":""4"",""total"":10},{""year"":""2017"",""us"":""13"",""fgn"":0,""com"":""3"",""total"":16},{""year"":""2018"",""us"":""18"",""fgn"":0,""com"":""3"",""total"":21},{""year"":""2019"",""us"":""25"",""fgn"":0,""com"":""3"",""total"":28},{""year"":""2020"",""us"":""36"",""fgn"":0,""com"":""4"",""total"":40},{""year"":""2021"",""us"":""49"",""fgn"":0,""com"":""4"",""total"":53},{""year"":""2022"",""us"":""60"",""fgn"":0,""com"":""3"",""total"":63},{""year"":""2023"",""us"":""68"",""fgn"":0,""com"":""6"",""total"":74}]"
Oil changes and preventive maintenance,1979,1979,Automotive,$232K - $423K,Jiffy Lube,Shell USA,#99,Ranked #37 last year,"[{""year"":""2013"",""us"":""1955"",""fgn"":143,""com"":""0"",""total"":2098},{""year"":""2014"",""us"":""1956"",""fgn"":151,""com"":""0"",""total"":2107},{""year"":""2015"",""us"":""1929"",""fgn"":156,""com"":""0"",""total"":2085},{""year"":""2016"",""us"":""1915"",""fgn"":166,""com"":""0"",""total"":2081},{""year"":""2017"",""us"":""1918"",""fgn"":171,""com"":""0"",""total"":2089},{""year"":""2018"",""us"":""1915"",""fgn"":163,""com"":""0"",""total"":2078},{""year"":""2019"",""us"":""1927"",""fgn"":167,""com"":""0"",""total"":2094},{""year"":""2020"",""us"":""1928"",""fgn"":165,""com"":""11"",""total"":2104},{""year"":""2021"",""us"":""1951"",""fgn"":161,""com"":""45"",""total"":2157},{""year"":""2022"",""us"":""1842"",""fgn"":165,""com"":""183"",""total"":2190}]"
Adventure parks,2011,2013,Recreation,$3.4M - $7.2M,Urban Air Adventure Park,Unleashed Brands LLC,#98,Ranked #46 last year,"[{""year"":""2013"",""us"":""0"",""fgn"":0,""com"":""3"",""total"":3},{""year"":""2014"",""us"":""3"",""fgn"":0,""com"":""3"",""total"":6},{""year"":""2015"",""us"":""4"",""fgn"":0,""com"":""3"",""total"":7},{""year"":""2016"",""us"":""15"",""fgn"":0,""com"":""5"",""total"":20},{""year"":""2017"",""us"":""23"",""fgn"":0,""com"":""5"",""total"":28},{""year"":""2018"",""us"":""46"",""fgn"":0,""com"":""5"",""total"":51},{""year"":""2019"",""us"":""93"",""fgn"":2,""com"":""2"",""total"":97},{""year"":""2020"",""us"":""133"",""fgn"":1,""com"":""2"",""total"":136},{""year"":""2021"",""us"":""148"",""fgn"":1,""com"":""4"",""total"":153},{""year"":""2022"",""us"":""154"",""fgn"":1,""com"":""4"",""total"":159}]"
Educational childcare,1982,1988,Children's Businesses,$652K - $8.5M,Primrose Schools,Roark Capital Group,#97,Ranked #65 last year,"[{""year"":""2013"",""us"":""273"",""fgn"":0,""com"":""1"",""total"":274},{""year"":""2014"",""us"":""283"",""fgn"":0,""com"":""1"",""total"":284},{""year"":""2015"",""us"":""299"",""fgn"":0,""com"":""1"",""total"":300},{""year"":""2016"",""us"":""324"",""fgn"":0,""com"":""1"",""total"":325},{""year"":""2017"",""us"":""353"",""fgn"":0,""com"":""0"",""total"":353},{""year"":""2018"",""us"":""382"",""fgn"":0,""com"":""0"",""total"":382},{""year"":""2019"",""us"":""405"",""fgn"":0,""com"":""0"",""total"":405},{""year"":""2020"",""us"":""430"",""fgn"":0,""com"":""0"",""total"":430},{""year"":""2021"",""us"":""454"",""fgn"":0,""com"":""0"",""total"":454},{""year"":""2022"",""us"":""472"",""fgn"":0,""com"":""0"",""total"":472}]"
Educational childcare,1981,1992,Children's Businesses,$370K - $6.8M,Kiddie Academy,Essential Brands Inc.,#96,Ranked #118 last year,"[{""year"":""2013"",""us"":""117"",""fgn"":0,""com"":""2"",""total"":119},{""year"":""2014"",""us"":""121"",""fgn"":0,""com"":""0"",""total"":121},{""year"":""2015"",""us"":""129"",""fgn"":0,""com"":""0"",""total"":129},{""year"":""2016"",""us"":""157"",""fgn"":0,""com"":""1"",""total"":158},{""year"":""2017"",""us"":""187"",""fgn"":0,""com"":""1"",""total"":188},{""year"":""2018"",""us"":""205"",""fgn"":0,""com"":""1"",""total"":206},{""year"":""2019"",""us"":""233"",""fgn"":0,""com"":""1"",""total"":234},{""year"":""2020"",""us"":""262"",""fgn"":0,""com"":""1"",""total"":263},{""year"":""2021"",""us"":""279"",""fgn"":0,""com"":""1"",""total"":280},{""year"":""2022"",""us"":""300"",""fgn"":0,""com"":""1"",""total"":301}]"
Upper upscale hotels,2014,2014,Lodging,$57M - $141.6M,Canopy by Hilton,Hilton,#95,Ranked #173 last year,"[{""year"":""2017"",""us"":""0"",""fgn"":1,""com"":""0"",""total"":1},{""year"":""2018"",""us"":""4"",""fgn"":1,""com"":""0"",""total"":5},{""year"":""2019"",""us"":""7"",""fgn"":3,""com"":""0"",""total"":10},{""year"":""2020"",""us"":""13"",""fgn"":6,""com"":""0"",""total"":19},{""year"":""2021"",""us"":""22"",""fgn"":9,""com"":""0"",""total"":31},{""year"":""2022"",""us"":""25"",""fgn"":12,""com"":""0"",""total"":37}]"
"Chocolates, fudge, ice cream",1947,1982,Food,$216K - $756K,Kilwins,Kilwins Chocolate Franchise Inc.,#93,Ranked #84 last year,"[{""year"":""2013"",""us"":""81"",""fgn"":0,""com"":""5"",""total"":86},{""year"":""2014"",""us"":""90"",""fgn"":0,""com"":""5"",""total"":95},{""year"":""2015"",""us"":""101"",""fgn"":0,""com"":""4"",""total"":105},{""year"":""2016"",""us"":""105"",""fgn"":0,""com"":""2"",""total"":107},{""year"":""2017"",""us"":""107"",""fgn"":0,""com"":""2"",""total"":109},{""year"":""2018"",""us"":""116"",""fgn"":0,""com"":""2"",""total"":118},{""year"":""2019"",""us"":""130"",""fgn"":0,""com"":""2"",""total"":132},{""year"":""2020"",""us"":""137"",""fgn"":0,""com"":""3"",""total"":140},{""year"":""2021"",""us"":""147"",""fgn"":0,""com"":""3"",""total"":150},{""year"":""2022"",""us"":""150"",""fgn"":0,""com"":""3"",""total"":153}]"
Commercial/residential disaster restoration,1929,1952,Maintenance,$253K - $359K,ServiceMaster Restore,ServiceMaster Brands,#94,Ranked #33 last year,"[{""year"":""2013"",""us"":""3056"",""fgn"":1876,""com"":""0"",""total"":4932},{""year"":""2014"",""us"":""3105"",""fgn"":1878,""com"":""6"",""total"":4989},{""year"":""2015"",""us"":""3132"",""fgn"":1889,""com"":""10"",""total"":5031},{""year"":""2016"",""us"":""3132"",""fgn"":1875,""com"":""10"",""total"":5017},{""year"":""2017"",""us"":""3104"",""fgn"":1919,""com"":""10"",""total"":5033},{""year"":""2018"",""us"":""3087"",""fgn"":1815,""com"":""10"",""total"":4912},{""year"":""2019"",""us"":""2324"",""fgn"":1815,""com"":""8"",""total"":4147},{""year"":""2020"",""us"":""2300"",""fgn"":1815,""com"":""8"",""total"":4123},{""year"":""2021"",""us"":""2298"",""fgn"":1874,""com"":""0"",""total"":4172},{""year"":""2022"",""us"":""2099"",""fgn"":201,""com"":""0"",""total"":2300}]"
"Pizza, wings, salad bar, appetizers",1978,1981,Food,$418K - $799K,Mountain Mike's Pizza,Mountain Mike's Pizza LLC,#92,Ranked #107 last year,"[{""year"":""2014"",""us"":""157"",""fgn"":0,""com"":""0"",""total"":157},{""year"":""2015"",""us"":""164"",""fgn"":0,""com"":""0"",""total"":164},{""year"":""2016"",""us"":""175"",""fgn"":0,""com"":""0"",""total"":175},{""year"":""2017"",""us"":""188"",""fgn"":0,""com"":""0"",""total"":188},{""year"":""2018"",""us"":""199"",""fgn"":0,""com"":""0"",""total"":199},{""year"":""2019"",""us"":""211"",""fgn"":0,""com"":""0"",""total"":211},{""year"":""2020"",""us"":""220"",""fgn"":0,""com"":""0"",""total"":220},{""year"":""2021"",""us"":""242"",""fgn"":0,""com"":""0"",""total"":242},{""year"":""2022"",""us"":""257"",""fgn"":0,""com"":""0"",""total"":257},{""year"":""2023"",""us"":""270"",""fgn"":0,""com"":""0"",""total"":270}]"
Fitness centers,2001,2002,Health & Wellness,$475K - $970K,Anytime Fitness,Self Esteem Brands,#91,Ranked #86 last year,"[{""year"":""2013"",""us"":""1837"",""fgn"":536,""com"":""28"",""total"":2401},{""year"":""2014"",""us"":""1961"",""fgn"":736,""com"":""36"",""total"":2733},{""year"":""2015"",""us"":""2085"",""fgn"":919,""com"":""36"",""total"":3040},{""year"":""2016"",""us"":""2207"",""fgn"":1179,""com"":""38"",""total"":3424},{""year"":""2017"",""us"":""2308"",""fgn"":1309,""com"":""38"",""total"":3655},{""year"":""2018"",""us"":""2398"",""fgn"":1645,""com"":""38"",""total"":4081},{""year"":""2019"",""us"":""2466"",""fgn"":2044,""com"":""10"",""total"":4520},{""year"":""2020"",""us"":""2412"",""fgn"":2327,""com"":""14"",""total"":4753},{""year"":""2021"",""us"":""2338"",""fgn"":2548,""com"":""18"",""total"":4904},{""year"":""2022"",""us"":""2327"",""fgn"":2729,""com"":""16"",""total"":5072},{""year"":""2023"",""us"":""2325"",""fgn"":2842,""com"":""16"",""total"":5183}]"
Car washes,1969,2016,Automotive,$5.3M - $7.2M,Tommy's Express Car Wash,Tommy's Express LLC,#90,Ranked #148 last year,"[{""year"":""2016"",""us"":""0"",""fgn"":0,""com"":""1"",""total"":1},{""year"":""2017"",""us"":""0"",""fgn"":0,""com"":""1"",""total"":1},{""year"":""2018"",""us"":""5"",""fgn"":0,""com"":""4"",""total"":9},{""year"":""2019"",""us"":""14"",""fgn"":0,""com"":""4"",""total"":18},{""year"":""2020"",""us"":""39"",""fgn"":0,""com"":""4"",""total"":43},{""year"":""2021"",""us"":""69"",""fgn"":0,""com"":""3"",""total"":72},{""year"":""2022"",""us"":""110"",""fgn"":0,""com"":""6"",""total"":116}]"
